GPS1,GPS2,Species,Group,Time,General Location,Comments 
205660,62688,Redtails,Camp,NA,"Bhd, Eco-helathy (logged area) ",
205660,62688,Redtails,Camp,NA,"Bhd, Eco-helathy (logged area) ",
206779,62647,Redtails,Camp,NA,Bhd. KCP (logged area) ,
205872,62532,Redtails,Camp,NA,Opp. Trail 6 Karambi ,Group found 
205850,62505,Redtails,Camp,NA,Opp. Trail 6 Karambi ,
205850,62505,Redtails,Camp,NA,Opp. Trail 6 Karambi ,
205850,62505,Redtails,Camp,NA,Opp. Trail 6 Karambi ,
205850,62505,Redtails,Camp,NA,Opp. Trail 6 Karambi ,
205850,62505,Redtails,Camp,NA,Opp. Trail 6 Karambi ,
205850,62505,Redtails,Camp,NA,Opp. Trail 6 Karambi ,
205850,62505,Redtails,Camp,NA,Opp. Trail 6 Karambi ,
205850,62505,Redtails,Camp,NA,Opp. Trail 6 Karambi ,
205878,62532,Redtails,Camp,NA,Opp Trail 6/ Karambi ,
205878,62532,Redtails,Camp,NA,Opp Trail 6/ Karambi ,
205878,62532,Redtails,Camp,NA,Opp Trail 6/ Karambi ,
205878,62532,Redtails,Camp,NA,Opp Trail 6/ Karambi ,
205878,62532,Redtails,Camp,NA,Opp Trail 6/ Karambi ,
205878,62532,Redtails,Camp,NA,Opp Trail 6/ Karambi ,
205878,62532,Redtails,Camp,NA,Trail 7/ Karambi Rd,
205941,62513,Redtails,Camp,NA,Trail 7/ Karambi Rd,
205941,62513,Redtails,Camp,NA,Trail 7/ Karambi Rd,
205941,62513,Redtails,Camp,NA,Trail 7/ Karambi Rd,
205941,62513,Redtails,Camp,NA,Trail 7/ Karambi Rd,
205941,62513,Redtails,Camp,NA,Opp Trail 6/ Karambi ,
205941,62513,Redtails,Camp,NA,Opp Trail 6/ Karambi ,
205904,61995,Redtails,ZIKURU,NA,Baboon /MUBFS TANK,Group found 
205904,61995,Redtails,ZIKURU,NA,Baboon /MUBFS TANK,
205904,61995,Redtails,ZIKURU,NA,Baboon /MUBFS TANK,
205904,61995,Redtails,ZIKURU,NA,Baboon /MUBFS TANK,
205098,61936,Redtails,ZIKURU,NA,Behind baboon trail ,
205098,61936,Redtails,ZIKURU,NA,Behind baboon trail ,
205098,61936,Redtails,ZIKURU,NA,Behind baboon trail ,
205098,61936,Redtails,ZIKURU,NA,Behind baboon trail ,
205098,61936,Redtails,ZIKURU,NA,Baboon/ MUBFS Tank ,
205098,61936,Redtails,ZIKURU,NA,Behind baboon trail ,
205880,62025,Redtails,ZIKURU,NA,MUBFS TANK/ BBN,"Group found same location, they haven't moved "
205880,62025,Redtails,ZIKURU,NA,MUBFS TANK/ BBN,
205880,62025,Redtails,ZIKURU,NA,MUBFS TANK/ BBN,
205880,62025,Redtails,ZIKURU,NA,MUBFS TANK/ BBN,
205880,62025,Redtails,ZIKURU,NA,MUBFS TANK/ BBN,
205880,62025,Redtails,ZIKURU,NA,MUBFS TANK/ BBN,
205880,62025,Redtails,ZIKURU,NA,MUBFS TANK/ BBN,
205880,62025,Redtails,ZIKURU,NA,MUBFS TANK/ BBN,
205880,62025,Redtails,ZIKURU,NA,MUBFS TANK/ BBN,
205880,62025,Redtails,ZIKURU,NA,MUBFS TANK/ BBN,
205880,62025,Redtails,ZIKURU,NA,MUBFS TANK/ BBN,
205880,62025,Redtails,ZIKURU,NA,MUBFS TANK/ Baboon trail ,
205847,62198,Redtails,KASEMBO,NA,MUBFS (Balanites Trees),Cloudy/Drizzling 
205847,62198,Redtails,KASEMBO,NA,MUBFS (Balanites Trees),
205847,62198,Redtails,KASEMBO,NA,MUBFS (Balanites Trees),
